id	HBR_1	HBR_2	HBR_3	UHR_1	UHR_2	UHR_3
ENSG00000100181.21	0	1.78094091184018	2.03480399486995	0.82161513886342	3.20973958180099	0
ENSG00000100191.5	5.72357121276666	9.79517501512101	4.06960798973991	0.82161513886342	2.13982638786733	0
ENSG00000100196.10	16.0259993957466	9.79517501512101	18.3132359538296	35.3294509711271	25.6779166544079	30.501897375902
ENSG00000100197.20	14.8812851531933	21.3712909420822	13.2262259666547	9.03776652749762	6.41947916360198	2.85955287899081
ENSG00000100201.18	0	0	0	2.46484541659026	7.48939235753564	2.85955287899081
ENSG00000100211.10	8.01299969787332	3.56188182368037	2.03480399486995	6.57292111090736	3.20973958180099	7.62547434397549
ENSG00000100216.5	0	0	0	0.82161513886342	2.13982638786733	0.953184292996937
ENSG00000100218.11	17.1707136383	16.9189386624817	15.2610299615247	2.46484541659026	1.06991319393366	0.953184292996937
ENSG00000100219.16	2.28942848510666	5.34282273552055	1.01740199743498	0.82161513886342	2.13982638786733	2.85955287899081
ENSG00000100220.11	0	0	0	0	1.06991319393366	1.90636858599387
ENSG00000100221.10	5.72357121276666	4.45235227960046	3.05220599230493	5.75130597204394	4.27965277573465	3.81273717198775
ENSG00000100225.17	2.28942848510666	3.56188182368037	0	0	3.20973958180099	0
ENSG00000100226.15	82.4194254638399	72.1281069295274	83.4269637896681	38.6159115265807	46.0062673391475	53.3783204078284
ENSG00000100227.17	0	0	0	0	2.13982638786733	0
ENSG00000100228.12	1.14471424255333	0.890470455920092	1.01740199743498	1.64323027772684	2.13982638786733	3.81273717198775
ENSG00000100234.11	25.1837133361733	14.2475272947215	8.13921597947982	4.1080756943171	5.34956596966832	3.81273717198775
ENSG00000100239.15	19.4601421234066	26.7141136776028	21.3654419461345	14.7890724995416	11.7690451332703	12.3913958089602
ENSG00000100241.20	17.1707136383	8.01423410328083	8.13921597947982	1.64323027772684	6.41947916360198	5.71910575798162
ENSG00000100242.15	5.72357121276666	8.90470455920092	2.03480399486995	40.2591418043076	38.5168749816119	38.1273717198775
ENSG00000100243.20	0	0.890470455920092	0	0	1.06991319393366	0
ENSG00000100249.4	0	1.78094091184018	0	0	1.06991319393366	0
ENSG00000100263.13	1.14471424255333	1.78094091184018	2.03480399486995	0.82161513886342	1.06991319393366	1.90636858599387
ENSG00000100266.17	3.43414272766	0.890470455920092	0	0.82161513886342	1.06991319393366	0
ENSG00000100276.9	1.14471424255333	0.890470455920092	0	0	1.06991319393366	0
ENSG00000100280.16	0	0	0	0	2.13982638786733	0
ENSG00000100281.13	0	0.890470455920092	2.03480399486995	0.82161513886342	3.20973958180099	0
ENSG00000100284.20	0	0.890470455920092	0	0	5.34956596966832	0
ENSG00000100285.9	5.72357121276666	8.90470455920092	9.15661797691479	0.82161513886342	1.06991319393366	0
ENSG00000100288.19	0	0.890470455920092	1.01740199743498	0	0	0
ENSG00000100290.2	1.14471424255333	1.78094091184018	5.08700998717489	0.82161513886342	0	0.953184292996937
ENSG00000100296.13	0	0	0	0.82161513886342	2.13982638786733	0.953184292996937
ENSG00000100297.15	0	0	0	0	4.27965277573465	0
ENSG00000100298.15	4.57885697021333	2.67141136776028	0	0	0	0
ENSG00000100302.6	0	0	0	0.82161513886342	2.13982638786733	0.953184292996937
ENSG00000100307.12	0	1.78094091184018	1.01740199743498	0	0	0.953184292996937
ENSG00000100311.16	2.28942848510666	3.56188182368037	3.05220599230493	0	2.13982638786733	0
ENSG00000100314.3	5.72357121276666	6.23329319144064	8.13921597947982	19.7187633327221	9.62921874540297	9.53184292996937
ENSG00000100316.15	2.28942848510666	1.78094091184018	2.03480399486995	1.64323027772684	1.06991319393366	1.90636858599387
ENSG00000100319.12	5.72357121276666	5.34282273552055	6.10441198460986	0	1.06991319393366	0.953184292996937
ENSG00000100320.22	1.14471424255333	1.78094091184018	2.03480399486995	0.82161513886342	1.06991319393366	0
ENSG00000100321.14	0	0.890470455920092	0	0	3.20973958180099	0
ENSG00000100324.13	0	0	0	0	3.20973958180099	0
ENSG00000100325.14	1.14471424255333	0	1.01740199743498	0.82161513886342	1.06991319393366	0.953184292996937
ENSG00000100330.15	2.28942848510666	0.890470455920092	0	1.64323027772684	4.27965277573465	0.953184292996937
ENSG00000100335.12	1.14471424255333	2.67141136776028	1.01740199743498	2.46484541659026	1.06991319393366	1.90636858599387
ENSG00000100336.17	0	0.890470455920092	1.01740199743498	0	1.06991319393366	0
ENSG00000100342.20	0	0	0	3.28646055545368	1.06991319393366	1.90636858599387
ENSG00000100345.20	1.14471424255333	1.78094091184018	2.03480399486995	0.82161513886342	4.27965277573465	0
ENSG00000100346.17	0	0	0	0	4.27965277573465	0
ENSG00000100347.14	0	0	0	0	2.13982638786733	0
ENSG00000100353.17	0	0	0	0	1.06991319393366	0.953184292996937
ENSG00000100354.20	1.14471424255333	0.890470455920092	1.01740199743498	0.82161513886342	2.13982638786733	0
ENSG00000100359.20	4.57885697021333	7.12376364736073	6.10441198460986	3.28646055545368	13.9088715211376	3.81273717198775
ENSG00000100360.14	0	2.67141136776028	0	0	2.13982638786733	0
ENSG00000100364.18	0	0	0	0	2.13982638786733	0.953184292996937
ENSG00000100368.13	0	0	0	0	2.13982638786733	0
ENSG00000100376.11	1.14471424255333	0	0	0.82161513886342	1.06991319393366	0
ENSG00000100380.12	1.14471424255333	0	0	0.82161513886342	3.20973958180099	0.953184292996937
ENSG00000100385.13	0	0	0	0	2.13982638786733	0
ENSG00000100393.9	0	1.78094091184018	1.01740199743498	0	5.34956596966832	0
ENSG00000100395.14	29.7625703063866	21.3712909420822	26.4524519333094	1.64323027772684	1.06991319393366	4.76592146498468
ENSG00000100399.15	6.86828545531999	8.90470455920092	5.08700998717489	17.2539179161318	8.5593055514693	3.81273717198775
ENSG00000100401.19	0	0	2.03480399486995	0.82161513886342	0	0
ENSG00000100403.11	0	1.78094091184018	0	0	5.34956596966832	0.953184292996937
ENSG00000100410.7	0	0.890470455920092	1.01740199743498	0	0	0
ENSG00000100412.15	37.77557000426	37.3997591486439	46.8004918820089	44.3672174986247	35.3071353998109	37.1741874268805
ENSG00000100413.16	168.27299365534	173.641738904418	158.714711599856	95.3073561081567	88.802795096494	87.6929549557182
ENSG00000100416.12	0	0	0	6.57292111090736	7.48939235753564	8.57865863697243
