id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000128250.5	31.9133644845273	7.55347172402139	1.2419224218835	6.08208016130816	1.18633226135325e-09	3.86217058418337e-08
ENSG00000270393.1	9.88820832239825	5.84769113130351	1.36789788409922	4.27494712820195	1.9118265878093e-05	0.000329508935428308
ENSG00000282816.1	3.54032278950848	5.35022568502597	1.70917148075182	3.13030362680316	0.00174625708839546	0.0124793494365822
ENSG00000271275.1	5.43652131366927	4.96805441504852	1.49872581614114	3.31485209739034	0.000916916247118527	0.00726098541637104
ENSG00000281732.1	8.66813636006914	4.7117756433627	1.24845921791126	3.77407253337899	0.000160604032257469	0.0018098839019784
ENSG00000226872.1	2.14109557548674	4.62967908162643	1.91415973381648	2.4186482454083	0.0155782963721652	0.0760740139507402
ENSG00000100417.11	4.26971661832045	4.59493454233466	1.58063927751698	2.90701022535187	0.00364901269484411	0.0227481004167941
ENSG00000274457.1	6.84614507448633	4.40619994318648	1.30594584890216	3.37395302178152	0.000740970119920972	0.00677651337680952
ENSG00000228620.1	9.95180415219897	4.34513789341643	1.11511101033366	3.89659670934132	9.75538633804971e-05	0.00127972179164388
ENSG00000224192.2	1.6535498336884	4.25580798786015	2.0866770826157	2.03951441424055	0.041398714119775	0.166161962151974
ENSG00000224883.1	28.2455195013044	4.07663768155018	0.61060907311162	6.67634639095015	2.44972573387586e-11	8.97212050032032e-10
ENSG00000198911.11	9.25992336464889	3.79872394617957	1.00421310280435	3.78278667702235	0.00015508231889454	0.0018098839019784
ENSG00000280007.1	76.3671808304744	3.74653478127338	0.350171065849465	10.6991557745779	1.02709697740316e-26	1.00313138126375e-24
ENSG00000236754.5	11.3300253877907	3.73868214435145	0.961435282920675	3.88864670432521	0.000100804730865174	0.00127972179164388
ENSG00000100285.9	4.27940368027991	3.66690593215537	1.44160282920732	2.54363119845682	0.0109706848584077	0.0584438302456991
ENSG00000182541.17	22.2605185444989	3.59254273647716	0.627421523522765	5.72588379867209	1.02896636665694e-08	2.7407922311862e-07
ENSG00000099957.16	8.64156568770014	3.59131128156428	1.06839223503197	3.36141649462365	0.000775438000251358	0.00677651337680952
ENSG00000279833.1	61.4782601576649	3.44422329052249	0.370075635395401	9.30680909820656	1.31730365913543e-20	9.64924930316703e-19
ENSG00000206028.1	103.69171260191	3.42504747932313	0.292493024580224	11.7098432834036	1.13489192973462e-31	1.66261667706121e-29
ENSG00000100218.11	8.97310419430454	3.41845995193467	0.957126793869215	3.57158526313472	0.000354826993057576	0.00358497617123689
ENSG00000100395.14	14.1775630197372	3.36792975741549	0.773881177497088	4.3519985436371	1.34902158422222e-05	0.000247039577610693
ENSG00000184983.9	3.22013916022376	3.1600670656863	1.54044880981104	2.05139375327502	0.0402286168997869	0.166161962151974
ENSG00000100319.12	3.19898390330461	3.15110480741837	1.53915977205447	2.0472889589703	0.0406297213264368	0.166161962151974
ENSG00000227188.1	3.95072198731439	2.88779208256147	1.31864499594168	2.18996931808718	0.0285264620630983	0.12664020279527
ENSG00000272694.1	10.2760869201053	2.82253217308249	0.847796022789961	3.32925856834524	0.00087077522645492	0.00708714281531366
ENSG00000100191.5	3.75829929072639	2.77399952410084	1.38651687048096	2.00069655347113	0.0454251010792471	0.17924931143301
ENSG00000170638.9	10.6895550590294	2.73400636930015	0.814285089692465	3.35755425698967	0.000786353088093938	0.00677651337680952
ENSG00000100033.16	7.43117309611407	2.68200832881736	1.03279934298054	2.59683388360548	0.00940874141453664	0.0520143629143252
ENSG00000227484.1	5.28350560808337	2.52040111074358	1.10020008806232	2.29085703418052	0.0219716836861473	0.0990415895390949
ENSG00000230149.2	7.15031930011815	2.47281407479961	0.966102438119621	2.55957751189676	0.0104799482281853	0.056863422793672
ENSG00000231010.1	7.4153480283666	2.30507245048614	0.936072222585872	2.46249423374453	0.0137974391462709	0.0697008563768514
ENSG00000183963.18	7.67594144736716	2.14257422346263	0.880476182586987	2.43342666824603	0.0149566647220711	0.0742763180265563
ENSG00000015475.18	20.4116901822056	2.12791156671317	0.548551488266617	3.87914646524288	0.000104823627984481	0.00127972179164388
ENSG00000100099.20	12.4822267186305	2.09965816071787	0.693939344675538	3.0257084813365	0.00248051332079884	0.0161508978443125
ENSG00000100023.17	30.3438427292073	1.97000817333417	0.446718227972963	4.4099569929647	1.03391150588488e-05	0.00020195738081618
ENSG00000100234.11	10.140139241058	1.84168761460883	0.790416865174771	2.33002064575332	0.0198050599551726	0.0923868741639077
ENSG00000093010.11	11.6907339447628	1.7076016433969	0.735090044045793	2.32298295593638	0.020180068076758	0.0923868741639077
ENSG00000183628.12	19.5571089650394	1.63145106816229	0.570284704398554	2.86076595703699	0.00422618913105186	0.0257973628207957
ENSG00000100426.6	17.1711578081126	1.49106987775682	0.593624825802094	2.51180512159699	0.0120115398785806	0.0617435295513001
ENSG00000100197.20	11.2992667720034	1.42700693838177	0.72620248291649	1.96502624536725	0.0494111999689464	0.190493178827649
ENSG00000240591.1	18.4484755905266	1.07243475682215	0.537165825569632	1.99646869881363	0.0458829295476989	0.17924931143301
ENSG00000269987.1	60.9691203726185	-1.01032101575843	0.307764810063941	-3.28276977328411	0.00102792578365003	0.00792584880551204
ENSG00000100196.10	22.607279227689	-1.06476647656111	0.504013505064633	-2.11257528987159	0.0346371355346899	0.149245304583296
ENSG00000269972.1	41.6600810376986	-1.1932906881533	0.386024347055291	-3.09123167296592	0.00199328046628735	0.0135821203865626
