gene,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000100271.16,0,0,0,0,0,0
ENSG00000100276.9,1,1,0,0,1,0
ENSG00000100280.16,0,0,0,0,2,0
ENSG00000100281.13,0,1,2,1,3,0
ENSG00000100284.20,0,1,0,0,5,0
ENSG00000100285.9,5,10,9,1,1,0
ENSG00000100288.19,0,1,1,0,0,0
ENSG00000100290.2,1,2,5,1,0,1
ENSG00000100292.16,0,0,0,1,0,0
ENSG00000100294.12,0,0,0,1,0,0
ENSG00000100296.13,0,0,0,1,2,1
ENSG00000100297.15,0,0,0,0,4,0
ENSG00000100298.15,4,3,0,0,0,0
ENSG00000100299.17,0,0,0,0,1,0
ENSG00000100300.17,0,0,0,0,0,0
ENSG00000100302.6,0,0,0,1,2,1
ENSG00000100304.12,0,0,0,0,1,0
ENSG00000100307.12,0,2,1,0,0,1
ENSG00000100311.16,2,4,3,0,2,0
ENSG00000100312.10,0,0,0,0,1,0
ENSG00000100314.3,5,7,8,24,9,10
ENSG00000100316.15,2,2,2,2,1,2
ENSG00000100319.12,5,6,6,0,1,1
ENSG00000100320.22,1,2,2,1,1,0
ENSG00000100321.14,0,1,0,0,3,0
ENSG00000100324.13,0,0,0,0,3,0
ENSG00000100325.14,1,0,1,1,1,1
ENSG00000100330.15,2,1,0,2,4,1
ENSG00000100335.12,1,3,1,3,1,2
ENSG00000100336.17,0,1,1,0,1,0
ENSG00000100341.11,0,0,0,0,1,0
ENSG00000100342.20,0,0,0,4,1,2
ENSG00000100344.10,0,0,0,0,1,0
ENSG00000100345.20,1,2,2,1,4,0
ENSG00000100346.17,0,0,0,0,4,0
ENSG00000100347.14,0,0,0,0,2,0
ENSG00000100348.9,0,0,0,0,0,0
ENSG00000100350.14,0,0,0,0,1,0
ENSG00000100351.16,0,0,0,1,0,0
ENSG00000100353.17,0,0,0,0,1,1
ENSG00000100354.20,1,1,1,1,2,0
ENSG00000100359.20,4,8,6,4,13,4
ENSG00000100360.14,0,3,0,0,2,0
ENSG00000100362.12,0,0,0,0,0,0
